42 ns: U U UUUU UUUU UUUU
17430 ns: 1 0 1111 0000 0000
17472 ns: 1 0 1111 0000 0000
17514 ns: 1 0 1111 0000 0000
17556 ns: 1 0 1111 0000 0000
17598 ns: 1 0 1111 0000 0000
17640 ns: 1 0 1111 0000 0000
17682 ns: 1 0 1111 0000 0000
17724 ns: 1 0 1111 0000 0000
17766 ns: 1 0 1111 0000 0000
17808 ns: 1 0 1111 0000 0000
17850 ns: 1 0 1111 0000 0000
17892 ns: 1 0 1111 0000 0000
17934 ns: 1 0 1111 0000 0000
17976 ns: 1 0 1111 0000 0000
18018 ns: 1 0 1111 0000 0000
18060 ns: 1 0 1111 0000 0000
18102 ns: 1 0 1111 0000 0000
18144 ns: 1 0 1111 0000 0000
18186 ns: 1 0 1111 0000 0000
18228 ns: 1 0 1111 0000 0000
18270 ns: 1 0 1111 0000 0000
18312 ns: 1 0 1111 0000 0000
18354 ns: 1 0 1111 0000 0000
18396 ns: 1 0 1111 0000 0000
18438 ns: 1 0 1111 0000 0000
18480 ns: 1 0 1111 0000 0000
18522 ns: 1 0 1111 0000 0000
18564 ns: 1 0 1111 0000 0000
18606 ns: 1 0 1111 0000 0000
18648 ns: 1 0 1111 0000 0000
18690 ns: 1 0 1111 0000 0000
18732 ns: 1 0 1111 0000 0000
18774 ns: 1 0 1111 0000 0000
18816 ns: 1 0 1111 0000 0000
18858 ns: 1 0 1111 0000 0000
18900 ns: 1 0 1111 0000 0000
18942 ns: 1 0 1111 0000 0000
18984 ns: 1 0 1111 0000 0000
19026 ns: 1 0 1111 0000 0000
19068 ns: 1 0 1111 0000 0000
19110 ns: 1 0 1111 0000 0000
19152 ns: 1 0 1111 0000 0000
19194 ns: 1 0 1111 0000 0000
19236 ns: 1 0 1111 0000 0000
19278 ns: 1 0 1111 0000 0000
19320 ns: 1 0 1111 0000 0000
19362 ns: 1 0 1111 0000 0000
19404 ns: 1 0 1111 0000 0000
19446 ns: 1 0 1111 0000 0000
19488 ns: 1 0 1111 0000 0000
19530 ns: 1 0 1111 0000 0000
19572 ns: 1 0 1111 0000 0000
19614 ns: 1 0 1111 0000 0000
19656 ns: 1 0 1111 0000 0000
19698 ns: 1 0 1111 0000 0000
19740 ns: 1 0 1111 0000 0000
19782 ns: 1 0 1111 0000 0000
19824 ns: 1 0 1111 0000 0000
19866 ns: 1 0 1111 0000 0000
19908 ns: 1 0 1111 0000 0000
19950 ns: 1 0 1111 0000 0000
19992 ns: 1 0 1111 0000 0000
20034 ns: 1 0 1111 0000 0000
20076 ns: 1 0 1111 0000 0000
20118 ns: 1 0 1111 0000 0000
20160 ns: 1 0 1111 0000 0000
